YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-05,WEEKENDS/HOLIDAY,8,TRAIN,NS28,365,2110
2024-05,WEEKENDS/HOLIDAY,7,TRAIN,EW33,3515,3144
2024-05,WEEKDAY,7,TRAIN,EW33,13355,16027
2024-05,WEEKENDS/HOLIDAY,18,TRAIN,BP12,1075,961
2024-05,WEEKDAY,18,TRAIN,BP12,3368,7902
2024-05,WEEKENDS/HOLIDAY,0,TRAIN,EW14/NS26,199,71
2024-05,WEEKDAY,0,TRAIN,EW14/NS26,621,137
2024-05,WEEKENDS/HOLIDAY,0,TRAIN,CG2,70,163
2024-05,WEEKDAY,0,TRAIN,CG2,128,365
2024-05,WEEKENDS/HOLIDAY,16,TRAIN,NE5,7079,7873
2024-05,WEEKDAY,16,TRAIN,NE5,14095,13272
2024-05,WEEKENDS/HOLIDAY,11,TRAIN,NE16/STC,26396,19669
2024-05,WEEKDAY,11,TRAIN,NE16/STC,41013,30845
2024-05,WEEKDAY,9,TRAIN,TE6,20230,4437
2024-05,WEEKENDS/HOLIDAY,9,TRAIN,TE6,7624,2547
2024-05,WEEKDAY,13,TRAIN,EW9,21894,16706
2024-05,WEEKENDS/HOLIDAY,13,TRAIN,EW9,13728,12351
2024-05,WEEKENDS/HOLIDAY,8,TRAIN,TE5,2500,1309
2024-05,WEEKDAY,8,TRAIN,TE5,17096,7152
2024-05,WEEKDAY,17,TRAIN,CC6,16965,14157
2024-05,WEEKENDS/HOLIDAY,17,TRAIN,CC6,9159,7706
2024-05,WEEKENDS/HOLIDAY,8,TRAIN,NE8,8580,10596
2024-05,WEEKDAY,8,TRAIN,NE8,37270,43355
2024-05,WEEKENDS/HOLIDAY,20,TRAIN,CC7,2328,4224
2024-05,WEEKDAY,20,TRAIN,CC7,5148,9976
2024-05,WEEKDAY,20,TRAIN,NS3,10758,31902
2024-05,WEEKENDS/HOLIDAY,20,TRAIN,NS3,5789,11880
2024-05,WEEKDAY,10,TRAIN,SE3,3618,945
2024-05,WEEKENDS/HOLIDAY,10,TRAIN,SE3,2165,673
2024-05,WEEKDAY,9,TRAIN,EW16/NE3/TE17,27148,71251
2024-05,WEEKENDS/HOLIDAY,9,TRAIN,EW16/NE3/TE17,8142,9855
2024-05,WEEKENDS/HOLIDAY,18,TRAIN,NE16/STC,24223,31761
